DUSEI	DU/SEI
POLESEIN	POLE/SEIN
W	
EPRAKQH	E)PRA/XQH
OIKIA	OI)KI/A
APOLAONTAS	A)POLA/ONTAS
PROSEIESQAI	PROSEI/ESQAI
TEINA	TEI=NA
POHSOMAI	POH/SOMAI
ANATATWI	A)NATATW=|
OIKIAS	OI)KI/AS
UMIN	U(MI=N
ETERWI	E(TE/RW|
MARTURWI	MARTU/RW|
TWN	TWN
AGONA	A)/GONA
ERRWSQAI	E)RRW=SQAI
PARAGGELETAI	PARAGGE/LETAI
TES	TE/S
EPWS	E)PW=|S
EPIQEINE	E)PI/QEINE
DHLWSAS	DHLW/SAS
PASIN	
IN	I(N
GNWNTES	GNW=NTES
LEGONTES	LE/GONTES
PISTI	PI/STI
KOMIKAIS	KOMIKAI=S
POLLU	POLLU/
ARXWNTW	*)ARXW/NDW
APETHQEIS	A)PETH/QEIS
DANISTW	DANISTW=
POLHSAI	POLH=SAI
HMISIAN	
PERINOHSAI	PERINOH=SAI
DANISTAIS	DANISTAI=S
EPITINWMEN	E)PITI/NWMEN
DOUNE	DOU=NE
DOULIAN	DOULI/AN
ADELFOS	A)DELFO/S
EPIGOUSAN	E)PI/GOUSAN
UGEIIAN	U(GEII/AN
XRHSTOU	
PROSDOKOMENH	PROSDOKOME/NH
AGAPHMENW	A)GAPHME/NW|
PAIHOUS	PAIHOU/S
SOI	SOI
IERAC	I(E/RAC
OI	OI(
ADELFOI	A)DELFOI/
LEWNIDHS	*LEWNI/DHS
PAPNOUQHS	*PAPNOU/QIOS
O	
ANTAIOPOLITHS	*)ANTAIOPOLI/THS
KOLOBOS	KOLOBO/S
EIDOTES	EI)DO/TES
EME	E)ME/
MIAS	MIA=S
MIAN	MI/AN
KLOKELEAS	KLOKELE/AS
MELHSA	ME/LHSA
EIPEN	EI)=PEN
TAXEIS	TAXEI=S
XARISIOS	XARI/SIOS
QEOFILH	QEOFILH=
EUXES	EU)XE/S
DIAFULACI	DIAFU/LACI
DIOSKOROS	*DIO/SKOROS
QELWMEN	QE/LWMEN
DANISTAI	DANISTAI/
OKNHSWMEN	O)KNH/SWMEN
METRHSON	
MEQWMEN	MEQW=MEN
PISQWMEN	PISQW=MEN
XREWSTI	XREW=STI
ORA	
PARAPESOUSIN	PARAPESOU=SIN
TOIAUTHN	TOIAU/THN
ANAGKHN	A)NA/GKHN
SAI	SAI/
ENDICASQE	E)NDI/CASQE
SE	SE
DOUSIN	DOU=SIN
ASFALIN	*)ASFA/LION
AXRIOS	A)/XRIOS
DECASQE	DE/CASQE
KAGW	KAGW/
EUQUMISQAI	EU)QUMI/SQAI
ILIKRINEI	I)LIKRINEI=
POLITIAN	POLITEI/AN
ALAZONIA	A)LAZONI/A
EPENOUMEN	E)PENOU=MEN
EDICAS	E)/DICAS
POLEITEIA	POLEITEI/A
IKANOS	I(KANO/S
EPISTEUWN	
EPI	E)PI/
BOULEIS	BOULEI=S
POQINOTATW	POQINOTA/TW
EMU	E)MU/
TUGXANI	*TUGXA/NIE
POQINOTATE	POQINO/TATE
FWTINWTATW	FWTINWTA/TW
TIMIWTATOS	TIMIW/TATOS
XRISTOU	
XAIRAI	XAI/RAI
MAITA	
IRHNHS	I)RH/NHS
EKC	E)C
GNHSIWTATAI	GNHSIW/TATAI
KURIOU	KURI/OU
QEOU	
EFARHS	E)FA/RHS
XIRAS	XIRA/S
STAURW	STAURW=|
TW	
ILIOU	*)ILI/OU
MAKARIWTATAI	MAKARIW/TATAI
SPOUDAIA	
PAULW	*PAU/LW
UIW	
PARADWSHTAI	PARADW/SHTAI
