SUNBWLW	SUMBW/LW
ENKALEIN	E)GKALEI=N
PARASUNGRAFHSI	PARASUGGRA/FHSI
ANANKASETAI	A)NAGKA/SETAI
APOLABIN	A)POLA/BION
ANANKASQHSONTAI	A)NAGKASQH/SONTAI
PENYW	PE/MYW
APENENKW	A)PENE/GKW
ANANKAIOTERON	A)NAGKAIO/TERON
SUNXWRHSE	SUGXW/RHSE
SUNKLEISO	SU/GKLEISO
AMFIZBHTHSEWS	A)MFISBHTH/SEWS
LAGHNIN	LAGH/NION
MARSIPPIN	MARSI/PPION
EPANANKON	E)PA/NAGKON
ENGEGRAMMENOU	E)GGEGRAMME/NOU
PARHNGEILA	PARH/GGEILA
ELLATTOUMENOU	E)LLASSOUME/NOU
ANENKLHTOS	A)NE/GKLHTOS
ALLHLENGUOI	A)LLHLE/GGUOI
ETUNXANEN	E)TU/GXANEN
LONGON	LOGGO/N
ENGUOIS	E)GGU/OIS
SUNKOLHSIN	SUGKO/LHSIN
SUNYWSIN	SUMYW=SIN
PARANGELW	PARAGGELW=
ANENENKONTOS	A)NENEGKO/NTOS
ENGOUOI	E)/GGOUOI
METENENKEIN	METENEGKEI=N
EF'	E)PI/
ENOIKIN	E)NOI/KION
SUNKEIMENOS	SUGKEI/MENOS
SUNXRHMATICESQAI	SUGXRHMATI/CESQAI
EPISTOLIN	E)PISTO/LION
ANGIO	A)GGI/O
ANGU	*)/AGGU
ARRENES	A)/RSENES
LANBONTES	LA/MBONTES
OYARIN	O)YA/RION
UPHRESIN	U(PHRE/SION
SAKIDIN	SAKI/DION
ZMILARIN	SMILA/RION
ANAPENPWMENOU	A)NAPEMPWME/NOU
ANFA	A)MFA/
ARRENWN	A)RSE/NWN
PROHNENKAMHN	PROHNEGKA/MHN
APOLLWNIN	*)APOLLW/NION
KATHNGISQH	KATHGGI/SQH
GRITARIN	GRITA/RION
EORTIN	E(O/RTION
APOLUTIKIN	A)POLUTI/KION
SUNKEKOLHMENOU	SUGKEKOLHME/NOU
TRITTON	TRISSO/N
TRIMHSIN	TRIMH/SION
ENKLHMATOS	E)GKLH/MATOS
SUNBOLA	SU/MBOLA
ENFEROMENWN	E)MFEROME/NWN
ENPOROS	E)/MPOROS
ANGION	*)/AGGION
ENKLHMATA	E)GKLH/MATA
ENGOUOU	E)GGOU/OU
ELATTWMENOU	E)LASSWME/NOU
ENGALO	E)/GGALO
PROSOPIDIN	PROSOPI/DION
SARAKIN	SARA/KION
KERATIN	KERA/TION
ENPROQESMOS	E)MPRO/QESMOS
ENPOLHS	E)MPOLH=S
KATALANBANEIN	KATALAMBA/NEIN
STIXARIN	STIXA/RION
NUMBER_0	I-number
MESENGUOU	MESEGGU/OU
SUNXWRW	SUGXWRW=
SUNSFAGIW	SUSFAGIW=
ENGENOUS	E)GGENOU=S
ANXHS	A)/GXHS
QENAPUNXIS	*QENAPU/GXIS
AMFIZBHTHSIN	A)MFISBH/THSIN
DIAMFIZBHTOUMENH	DIAMFISBHTOUME/NH
SUNXWRHSI	SUGXW/RHSI
HMIOBELIN	H(MIOBE/LION
ARGURIN	A)RGU/RION
ENLIPONTOS	E)LLIPO/NTOS
YENMWNQHS	*YEMMW/NQHS
SUNKLEISE	SU/GKLEISE
ENGOIS	E)/GGOIS
LOGARIDIN	LOGARI/DION
SUNKURONTWN	SUGKURO/NTWN
KANKELOU	KAGKE/LOU
EUANGELION	EU)AGGE/LION
SUNKLEISMOU	SUGKLEISMOU=
FWKARIN	FWKA/RION
XARTARIN	XARTA/RION
ENGGEGRAMMENOIS	E)GGEGRAMME/NOIS
EPIDHPER	E)PIDH/
KRHTARIN	KRHTA/RION
UPOPODIN	U(POPO/DION
ENKTHSEWN	E)GKTH/SEWN
ENGEGRAMMENOIS	E)GGEGRAMME/NOIS
ENGINETAI	E)GGI/NETAI
SUNPANTI	SU/MPANTI
TOUT'	TOUTI/
ENBAFIA	E)MBA/FIA
SUNXU	SU/GXU
KAQ'	KATO/
SUNPARALABONTES	SUMPARALABO/NTES
SUNPEFONHMENH	SUMPEFONHME/NH
LOGARIN	LOGA/RION
FOIBAMMMWN	*FOIBA/MMWN
PAREIDIN	PAREI/DION
PENYON	PE/MYON
MONASTHRIN	MONASTH/RION
HNFISBHTOUN	H)MFISBH/TOUN
PARENBOLHS	PAREMBOLH=S
ENFEROMENOI	E)MFERO/MENOI
SUNXWRHQHNAI	SUGXWRHQH=NAI
ANENGAREUTA	A)NEGGA/REUTA
LEITOURGIN	LEITOU/RGION
SUNKOMIZHS	SUGKOMI/ZHS
ZMARAGDINON	SMARA/GDINON
ARRENA	A)/RSENA
OYWNIN	O)YW/NION
ELADIN	E)LA/DION
ANMWNIOU	*)AMMWNI/OU
ANANKAIAN	A)NAGKAI/AN
ENPODIZHTAI	E)MPODI/ZHTAI
PROSANGELW	PROSAGGE/LW
PROSANGELAS	PROSAGGE/LAS
KONXISMA	KO/GXISMA
AG'	A)GE/
FELONIN	FELO/NION
KOLOBIN	KOLO/BION
ENBALOMHN	E)MBALO/MHN
KEKOMIZMAI	KEKO/MISMAI
PRINKIPW	PRIGKI/PW
LINARIN	LINA/RION
EKFORIN	E)KFO/RION
ENXRHSSOUSAI	E)GXRH/SSOUSAI
SUNLOUME	SULLOUME/
ENGUASQAI	E)GGUA=SQAI
ANANKASI	A)NA/GKASI
PARENXEIRH	PAREGXEI/RH
SENLEWN	SELLE/WN
DIONUSARIN	*DIONUSA/RION
ERWTARIN	E)RWTA/RION
SUNKATAQESIN	SUGKATA/QESIN
SUNPLHROUSIN	SUMPLHROU=SIN
SUNFWNA	SU/MFWNA
SUNBOULEUW	SUMBOULEU/W
TAPHTIN	TAPH/TION
AMFIZBHTOUMENWN	A)MFISBHTOUME/NWN
ENFANEIAS	E)MFANEI/AS
APUNXIOS	*)APU/GXIOS
ENBLEYAN	E)MBLE/YAN
DEZMWTHRIOU	DESMWTHRI/OU
ENLIPEI	E)LLIPEI=
KITWNIN	KITW/NION
LWTIKIN	LWTI/KION
SUNPEPTWKOIHS	SUMPEPTWKOI/HS
ENPOHSEWS	E)MPOH/SEWS
OCURUNXWN	O)CURU/GXWN
SUNKURWNTWN	SUGKURW/NTWN
ENGONOIS	E)GGO/NOIS
SUNBEBAIOSOMEN	SUMBEBAIO/SOMEN
ENPOIHSEWS	E)MPOIH/SEWS
SUNKURONTON	SUGKU/RONTON
SUNBEBAIWSWMEN	SUMBEBAIW/SWMEN
ENPECAS	E)MPE/CAS
EXONMEN	E)/XOMMEN
TESSSERWN	TESSE/RWN
PRINKEPOS	PRI/GKEPOS
ELATTOUMENOU	E)LASSOUME/NOU
SUNPARELABAN	SUMPARE/LABAN
AMENPTWS	A)ME/MPTWS
ENKALO	E)/GKALO
KINBER	*KI/MBER
ENGISE	E)/GGISE
PARANGEILEI	PARAGGEI/LEI
AMFIAZMOU	A)MFIASMOU=
AGORAZMATOS	A)GORA/SMATOS
AINGADWN	*AI)GGADW=N
GALERIN	GALE/RION
ENPOROIS	E)MPO/ROIS
EPENENKEIN	E)PENEGKEI=N
DROMITARIN	DROMITA/RION
PENTADIN	PENTA/DION
ENTUNXANW	E)NTUGXA/NW
STIXAROFELWNIN	STIXAROFELW/NION
FELWNIN	FELW/NION
SUNPIQOMAI	SUMPI/QOMAI
KROMUDIN	KROMU/DION
KOLOKUNQIN	KOLOKU/NQION
KATENENKASIN	KATENE/GKASIN
EPANANKES	E)PA/NAGKES
PEPONIN	PEPO/NION
GRANMATA	GRA/MMATA
ENKALON	E)/GKALON
METALHNYOMENOIS	METALHMYOME/NOIS
ZMHMA	SMH=MA
KATENGUHSEI	KATEGGUH/SEI
SUNXORO	SU/GXORO
ENKTHSEWS	E)GKTH/SEWS
SUNKURIWNTWN	SUGKURIW/NTWN
PARANGELHNAI	PARAGGELH=NAI
EPANGEILEIE	E)PAGGEI/LEIE
LANPROTATHS	LAMPROTA/THS
ECUS	E)SU/S
QEAFIN	QEA/FION
SUNSFRAGIOUSIN	SUSFRAGIOU=SIN
SUNSFRAGIW	SUSFRAGIW=
ANGELAS	A)GGE/LAS
PITTAKIN	PITTA/KION
FIALIN	FIA/LION
SFURIDIN	SFURI/DION
KANQHLIN	KANQH/LION
DIAPRATTE	DIA/PRASSE
ZMURNAN	SMU/RNAN
SUNPOSI	SU/MPOSI
KATASUNGRAFOUNTWN	KATASUGGRAFOU/NTWN
SUNPAN	SU/MPAN
AGXORINFEWS	*)AGXORI/MFEWS
